IDA,CATEGORIE,IDL,DATEDEB,DATEFIN,NIVEAU
1,neige-verglas,86,2021-12-02,2021-12-03,rouge
2,neige-verglas,79,2021-12-02,2021-12-03,rouge
3,neige-verglas,36,2021-12-02,2021-12-03,rouge
4,canicule,69,2021-06-18,2021-06-19,orange
87,canicule,1,2021-06-18,2021-06-19,orange
5,canicule,4,2021-08-11,2021-08-15,orange
6,canicule,7,2021-08-11,2021-08-15,orange
7,pluie-inondation,30,2021-09-14,2021-09-16,rouge
8,pluie-inondation,34,2021-09-14,2021-09-16,orange
9,pluie-inondation,31,2021-09-14,2021-09-16,rouge
10,pluie-inondation,46,2021-09-14,2021-09-16,rouge
11,orage,82,2021-09-14,2021-09-16,rouge
12,orage,81,2021-09-14,2021-09-16,rouge
13,orage,12,2021-09-14,2021-09-16,rouge
14,vent violent,69,2021-10-03,2021-10-07,orange
15,vent violent,42,2021-10-03,2021-10-07,orange
16,vent violent,6,2021-11-15,2021-11-16,orange
17,vent violent,83,2021-11-15,2021-11-16,orange
18,avalanches,64,2021-11-28,2021-11-30,orange
19,avalanches,65,2021-11-28,2021-11-30,orange
20,neige-verglas,31,2021-11-28,2021-11-30,orange
21,neige-verglas,64,2021-11-28,2021-11-30,orange
22,neige-verglas,65,2021-11-28,2021-11-30,orange
23,neige-verglas,9,2021-11-28,2021-11-30,orange
24,inondation,40,2021-12-10,2021-12-11,rouge
25,inondation,32,2021-12-10,2021-12-11,orange
26,pluie-inondation,64,2021-12-10,2021-12-11,rouge
27,pluie-inondation,65,2021-12-10,2021-12-11,orange
28,pluie-inondation,31,2021-12-10,2021-12-11,orange
29,pluie-inondation,9,2021-12-10,2021-12-11,orange
30,avalanches,65,2021-12-10,2021-12-11,orange
31,avalanches,31,2021-12-10,2021-12-11,orange
32,avalanches,9,2021-12-10,2021-12-11,orange
33,neige-verglas,74,2021-12-10,2021-12-11,orange
34,neige-verglas,73,2021-12-10,2021-12-11,orange
35,neige-verglas,38,2021-12-10,2021-12-11,orange
36,avalanches,74,2021-12-10,2021-12-11,orange
37,avalanches,38,2021-12-10,2021-12-11,orange
38,orage,3,2021-09-14,2021-09-16,orange
39,orage,23,2021-09-14,2021-09-16,orange
40,orage,63,2021-09-14,2021-09-16,orange
41,orage,87,2021-09-14,2021-09-16,orange
42,orage,15,2021-09-14,2021-09-16,orange
43,pluie-inondation,34,2021-09-25,2021-09-26,orange
44,pluie-inondation,30,2021-09-25,2021-09-26,orange
45,orage,7,2021-09-25,2021-09-26,orange
46,orage,26,2021-09-25,2021-09-26,orange
47,pluie-inondation,74,2021-01-27,2021-02-01,orange
48,pluie-inondation,73,2021-01-27,2021-02-01,orange
49,pluie-inondation,38,2021-01-27,2021-02-01,orange
50,pluie-inondation,5,2021-01-27,2021-02-01,orange
51,avalanches,74,2021-01-27,2021-02-01,orange
52,avalanches,73,2021-01-27,2021-02-01,orange
53,avalanches,38,2021-01-27,2021-02-01,orange
54,avalanches,5,2021-01-27,2021-02-01,orange
55,vagues-submersion,33,2021-01-30,2021-02-01,orange
56,vagues-submersion,40,2021-01-30,2021-02-01,orange
57,vagues-submersion,64,2021-01-30,2021-02-01,orange
58,inondation,33,2021-01-30,2021-02-01,orange
59,inondation,40,2021-01-30,2021-02-01,orange
60,inondation,64,2021-01-30,2021-02-01,orange
61,inondation,47,2021-01-30,2021-02-01,orange
62,inondation,32,2021-01-30,2021-02-01,orange
63,inondation,65,2021-01-30,2021-02-01,orange
64,inondation,17,2021-01-30,2021-02-01,orange
65,inondation,82,2021-01-30,2021-02-01,orange
66,inondation,47,2021-02-03,2021-02-05,rouge
67,neige-verglas,85,2021-02-11,2021-02-13,rouge
68,neige-verglas,79,2021-02-11,2021-02-13,rouge
69,neige-verglas,86,2021-02-11,2021-02-13,rouge
70,neige-verglas,36,2021-02-11,2021-02-13,rouge
71,inondation,17,2021-02-11,2021-02-13,orange
72,orage,65,2021-05-09,2021-05-12,orange
73,orage,31,2021-05-09,2021-05-12,orange
74,orage,32,2021-05-09,2021-05-12,orange
75,orage,82,2021-05-09,2021-05-12,orange
76,orage,47,2021-05-09,2021-05-12,orange
77,orage,24,2021-05-09,2021-05-12,orange
78,orage,16,2021-05-09,2021-05-12,orange
79,orage,86,2021-05-09,2021-05-12,orange
80,orage,87,2021-05-09,2021-05-12,orange
81,orage,46,2021-05-09,2021-05-12,orange
82,vent violent,43,2021-05-09,2021-05-12,orange
83,vent violent,42,2021-05-09,2021-05-12,orange
84,neige-verglas,23,2021-11-27,2021-11-29,orange
85,neige-verglas,19,2021-11-27,2021-11-29,orange
86,neige-verglas,63,2021-11-27,2021-11-29,orange
