IDR,Date,IDS
10,2021-06-21,83137001
20,2021-12-21,83137001
11,2021-06-21,13055001
21,2021-12-21,13055001
12,2021-06-21,13055025
22,2021-12-21,13055025
13,2021-06-21,13055029
23,2021-12-21,13055029
14,2021-06-21,6088001
24,2021-12-21,6088001
15,2021-06-21,6088007
25,2021-12-21,6088007
16,2021-06-21,4070009
26,2021-12-21,4070009
17,2021-06-21,84007005
27,2021-12-21,84007005
18,2021-06-21,84007002
28,2021-12-21,84007002
19,2021-06-21,30189001
29,2021-12-21,30189001
110,2021-06-21,34154001
210,2021-12-21,34154001
111,2021-06-21,11069001
211,2021-12-21,11069001
112,2021-06-21,66136001
212,2021-12-21,66136001
113,2021-06-21,81284001
213,2021-12-21,81284001
114,2021-06-21,40088001
214,2021-12-21,40088001
115,2021-06-21,32013005
215,2021-12-21,32013005
116,2021-06-21,33063001
216,2021-12-21,33063001
117,2021-06-21,82121002
217,2021-12-21,82121002
118,2021-06-21,12145001
218,2021-12-21,12145001
119,2021-06-21,48095005
219,2021-12-21,48095005
120,2021-06-21,7186001
220,2021-12-21,7186001
121,2021-06-21,82186003
221,2021-12-21,82186003
122,2021-06-21,5061009
222,2021-12-21,5061009
123,2021-06-21,24037005
223,2021-12-21,24037005
124,2021-06-21,15014004
224,2021-12-21,15014004
125,2021-06-21,38185012
225,2021-12-21,38185012
126,2021-06-21,17300001
226,2021-12-21,17300001
127,2021-06-21,87085009
227,2021-12-21,87085009
128,2021-06-21,42218011
228,2021-12-21,42218011
129,2021-06-21,69123002
229,2021-12-21,69123002
130,2021-06-21,79191005
230,2021-12-21,79191005
131,2021-06-21,86027001
231,2021-12-21,86027001
132,2021-06-21,18033001
232,2021-12-21,18033001
133,2021-06-21,3310001
233,2021-12-21,3310001
134,2021-06-21,39198001
234,2021-12-21,39198001
135,2021-06-21,44109012
235,2021-12-21,44109012
